trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,hybrid_rew,hybrid_potent,hybrid_percDead
0,0,0.018691588785046728,0.5794392523364486,0.8333333333333334,0.794392523364486,0.8504672897196262,0.3333333333333333,0.616822429906542,0.7476635514018691,0.3333333333333333,0.48598130841121495,0.616822429906542,0.5
1,0,0.3103448275862069,0.9655172413793104,0.8333333333333334,0.4367816091954023,0.6551724137931034,0.6666666666666666,0.5632183908045977,0.8390804597701149,0.5,0.42528735632183906,0.8390804597701149,0.8333333333333334
2,0,0.9263157894736842,0.9578947368421052,0.16666666666666666,0.5368421052631579,0.5789473684210527,0.3333333333333333,0.7894736842105263,0.9473684210526315,0.5,0.4631578947368421,0.7052631578947368,0.8333333333333334
3,0,0.5,0.7327586206896551,0.6666666666666666,0.43103448275862066,0.43103448275862066,0.5,0.15517241379310345,0.4224137931034483,0.8333333333333334,0.5,0.5,0.3333333333333333
4,0,0.39823008849557523,0.5752212389380531,0.5,0.34513274336283184,0.6991150442477876,0.6666666666666666,0.7433628318584071,0.7433628318584071,0.3333333333333333,0.7256637168141593,0.7256637168141593,0.3333333333333333
5,0,0.4954128440366973,0.5229357798165137,0.3333333333333333,0.3302752293577982,0.41284403669724773,0.6666666666666666,0.3394495412844037,0.3394495412844037,0.6666666666666666,0.3119266055045872,0.41284403669724773,0.6666666666666666
