trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,dist_hybrid_rew,dist_hybrid_rew,dist_hybrid_rew,full_hybrid_rew,full_hybrid_rew,full_hybrid_rew
0,0,0.8785046728971962,0.9158878504672897,0.16666666666666666,0.8037383177570093,0.8037383177570093,0.0,0.794392523364486,0.794392523364486,0.0,0,0,0,0.8785046728971962,0.8785046728971962,0.0
1,0,1.0,1.0,0.0,0.9292929292929293,0.9292929292929293,0.0,0.9696969696969697,0.9696969696969697,0.0,0,0,0,0.8787878787878788,0.8787878787878788,0.0
2,0,0.7142857142857143,0.9230769230769231,0.5,0.6593406593406593,0.6593406593406593,0.0,0.7142857142857143,0.7142857142857143,0.16666666666666666,0,0,0,0.6593406593406593,0.6593406593406593,0.3333333333333333
3,0,0.847457627118644,1.0,0.5,0.8220338983050848,0.8220338983050848,0.0,0.6864406779661016,0.6864406779661016,0.0,0,0,0,0.847457627118644,0.847457627118644,0.0
4,0,0.9,0.9,0.0,0.64,0.7,0.16666666666666666,0.72,0.72,0.0,0,0,0,0.71,0.76,0.16666666666666666
5,0,1.0,1.0,0.0,0.8785046728971962,0.8785046728971962,0.0,0.9252336448598131,0.9813084112149533,0.16666666666666666,0,0,0,0.9158878504672897,0.9439252336448598,0.16666666666666666
6,0,0.6818181818181818,0.9,0.3333333333333333,0.7909090909090909,0.8181818181818182,0.16666666666666666,0.7818181818181819,0.7818181818181819,0.0,0,0,0,0.7636363636363637,0.7636363636363637,0.0
7,0,0.6421052631578947,0.7473684210526316,0.16666666666666666,0.5052631578947369,0.6,0.16666666666666666,0.631578947368421,0.7263157894736842,0.16666666666666666,0,0,0,0.6421052631578947,0.6421052631578947,0.0
8,0,0.9821428571428571,1.0,0.16666666666666666,0.75,0.75,0.0,0.7232142857142857,0.8035714285714286,0.16666666666666666,0,0,0,0.7410714285714286,0.7410714285714286,0.16666666666666666
9,0,0.8461538461538461,0.8461538461538461,0.0,0.6923076923076923,0.7802197802197802,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.0,0,0,0,0.6593406593406593,0.8241758241758241,0.5
10,0,0.8869565217391304,1.0,0.5,0.8782608695652174,0.8782608695652174,0.0,0.8434782608695652,0.8434782608695652,0.0,0,0,0,0.8260869565217391,0.8260869565217391,0.0
