trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,hybrid_rew,hybrid_potent,hybrid_percDead
0,0,1.0,1.0,0.0,0.896551724137931,0.896551724137931,0.0,0.9425287356321839,0.9425287356321839,0.0,0.8045977011494253,0.9195402298850575,0.16666666666666666
1,0,0.8018018018018018,0.9459459459459459,0.3333333333333333,0.6936936936936937,0.6936936936936937,0.0,0.6846846846846847,0.6846846846846847,0.0,0.6756756756756757,0.6756756756756757,0.0
2,0,0.75,0.875,0.3333333333333333,0.75,0.75,0.0,0.75,0.75,0.0,0.6875,0.6875,0.0
3,0,0.9333333333333333,1.0,0.16666666666666666,0.9777777777777777,0.9777777777777777,0.0,0.9666666666666667,0.9666666666666667,0.0,0.9555555555555556,0.9555555555555556,0.0
4,0,0.6568627450980392,0.6568627450980392,0.0,0.5490196078431373,0.5490196078431373,0.0,0.6176470588235294,0.6176470588235294,0.0,0.5490196078431373,0.5490196078431373,0.16666666666666666
5,0,0.831858407079646,0.9911504424778761,0.3333333333333333,0.6902654867256637,0.6902654867256637,0.0,0.6548672566371682,0.6548672566371682,0.16666666666666666,0.6371681415929203,0.6371681415929203,0.0
6,0,1.0,1.0,0.0,0.5773195876288659,0.5773195876288659,0.0,0.9896907216494846,0.9896907216494846,0.0,1.0,1.0,0.0
7,0,1.0,1.0,0.0,0.9534883720930233,0.9534883720930233,0.0,0.7906976744186046,0.8488372093023255,0.16666666666666666,0.9186046511627907,0.9186046511627907,0.0
8,0,0.6153846153846154,0.75,0.3333333333333333,0.5576923076923077,0.5576923076923077,0.0,0.6153846153846154,0.6153846153846154,0.0,0.5576923076923077,0.5576923076923077,0.16666666666666666
9,0,1.0,1.0,0.0,0.7627118644067796,0.7627118644067796,0.0,1.0,1.0,0.0,0.7288135593220338,0.7288135593220338,0.0
10,0,0.6585365853658537,0.8048780487804879,0.3333333333333333,0.6463414634146342,0.6463414634146342,0.0,0.6219512195121951,0.6219512195121951,0.0,0.524390243902439,0.6097560975609756,0.16666666666666666
11,0,0.9555555555555556,0.9555555555555556,0.0,0.762962962962963,0.762962962962963,0.0,0.9037037037037037,0.9037037037037037,0.0,0.7333333333333333,0.7333333333333333,0.0
12,0,1.0,1.0,0.0,0.9753086419753086,0.9753086419753086,0.0,0.9753086419753086,0.9753086419753086,0.0,1.0,1.0,0.0
13,0,1.0,1.0,0.0,0.8490566037735849,0.8490566037735849,0.0,0.8490566037735849,0.8490566037735849,0.16666666666666666,0.8018867924528302,0.8018867924528302,0.0
14,0,0.7980769230769231,0.9711538461538461,0.5,0.5192307692307693,0.5192307692307693,0.0,0.7980769230769231,0.7980769230769231,0.0,0.7596153846153846,0.7596153846153846,0.0
15,0,1.0,1.0,0.16666666666666666,0.8857142857142857,0.8857142857142857,0.0,0.9714285714285714,0.9714285714285714,0.0,0.7428571428571429,0.9714285714285714,0.16666666666666666
16,0,1.0,1.0,0.0,0.7849462365591398,0.7849462365591398,0.0,0.967741935483871,0.967741935483871,0.0,0.8387096774193549,0.8387096774193549,0.0
17,0,0.33980582524271846,0.9611650485436893,0.8333333333333334,0.5728155339805825,0.5728155339805825,0.0,0.6796116504854369,0.6796116504854369,0.0,0.6699029126213593,0.6699029126213593,0.0
18,0,1.0,1.0,0.16666666666666666,0.9021739130434783,0.9021739130434783,0.0,0.8695652173913043,0.8695652173913043,0.0,0.9456521739130435,0.9456521739130435,0.0
19,0,0.967741935483871,0.967741935483871,0.0,0.7096774193548387,0.7096774193548387,0.0,0.7096774193548387,0.7096774193548387,0.0,0.7526881720430108,0.7526881720430108,0.0
20,0,1.0,1.0,0.0,0.8080808080808081,0.8080808080808081,0.0,0.9494949494949495,0.9494949494949495,0.0,0.898989898989899,0.898989898989899,0.0
21,0,0.9456521739130435,0.9891304347826086,0.16666666666666666,0.7608695652173914,0.7608695652173914,0.0,0.7065217391304348,0.7065217391304348,0.0,0.6086956521739131,0.7391304347826086,0.3333333333333333
22,0,0.8,0.9619047619047619,0.5,0.7523809523809524,0.7523809523809524,0.0,0.7333333333333333,0.7333333333333333,0.0,0.7714285714285715,0.7714285714285715,0.0
23,0,0.9150943396226415,0.9150943396226415,0.0,0.7264150943396226,0.7264150943396226,0.0,0.9056603773584906,0.9056603773584906,0.0,0.7830188679245284,0.7830188679245284,0.0
24,0,1.0,1.0,0.0,0.8666666666666667,0.8666666666666667,0.0,0.8285714285714286,0.8285714285714286,0.0,0.7142857142857143,0.7142857142857143,0.0
25,0,0.8629032258064516,0.9354838709677419,0.3333333333333333,0.6612903225806451,0.6612903225806451,0.16666666666666666,0.5887096774193549,0.7580645161290323,0.3333333333333333,0.7258064516129032,0.7258064516129032,0.0
26,0,0.8217054263565892,0.8914728682170543,0.16666666666666666,0.689922480620155,0.7674418604651163,0.16666666666666666,0.6589147286821705,0.6589147286821705,0.0,0.689922480620155,0.689922480620155,0.0
27,0,1.0,1.0,0.0,0.9017857142857143,0.9017857142857143,0.0,0.9017857142857143,0.9017857142857143,0.0,0.8928571428571429,0.8928571428571429,0.16666666666666666
28,0,0.8235294117647058,0.9495798319327731,0.5,0.7142857142857143,0.7142857142857143,0.0,0.7983193277310925,0.7983193277310925,0.0,0.680672268907563,0.680672268907563,0.0
29,0,0.9758064516129032,1.0,0.16666666666666666,0.8064516129032258,0.8064516129032258,0.0,0.9758064516129032,0.9758064516129032,0.0,0.9758064516129032,0.9758064516129032,0.0
