trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,dist_hybrid_rew,dist_hybrid_potent,dist_hybrid_percDead,full_hybrid_rew,full_hybrid_potent,full_hybrid_percDead
0,0,0.588888888888889,0.911111111111111,0.333333333333333,0.611111111111111,0.877777777777778,0.5,0.811111111111111,1,0.333333333333333,0.944444444444444,0.944444444444444,0.333333333333333,0.888888888888889,0.888888888888889,0
1,0,0.652173913043478,0.717391304347826,0.5,0.641304347826087,0.66304347826087,0.166666666666667,0.630434782608696,0.728260869565217,0.333333333333333,0.630434782608696,0.815217391304348,0.5,0.760869565217391,0.826086956521739,0.333333333333333
2,0,0.798245614035088,0.824561403508772,0.5,0.429824561403509,0.578947368421053,0.333333333333333,0.421052631578947,0.649122807017544,0.5,0.798245614035088,0.798245614035088,0.166666666666667,0.807017543859649,0.807017543859649,0.166666666666667
3,0,0.802469135802469,0.802469135802469,0,0.567901234567901,0.567901234567901,0.5,0.592592592592593,0.802469135802469,0.5,0.753086419753086,0.753086419753086,0.166666666666667,0.654320987654321,0.654320987654321,0.333333333333333
4,0,0.615384615384615,0.786324786324786,0.5,0.752136752136752,0.752136752136752,0.166666666666667,0.700854700854701,0.777777777777778,0.5,0.752136752136752,0.752136752136752,0.166666666666667,0.47008547008547,0.846153846153846,0.666666666666667
5,0,0.634408602150538,0.870967741935484,0.333333333333333,0.516129032258065,0.655913978494624,0.333333333333333,0.870967741935484,0.870967741935484,0,0.505376344086022,0.548387096774194,0.666666666666667,0.731182795698925,0.78494623655914,0.166666666666667
6,0,0.763157894736842,1,0.333333333333333,0.850877192982456,0.894736842105263,0.166666666666667,0.754385964912281,0.903508771929825,0.333333333333333,0.508771929824561,0.815789473684211,0.5,0.245614035087719,0.921052631578947,0.666666666666667
7,0,0.688888888888889,0.866666666666667,0.333333333333333,0.377777777777778,0.688888888888889,0.666666666666667,0.455555555555556,0.822222222222222,0.5,0.655555555555556,0.655555555555556,0.166666666666667,0.622222222222222,0.622222222222222,0
8,0,0.836538461538462,0.932692307692308,0.333333333333333,0.625,0.826923076923077,0.5,0.211538461538462,1,0.666666666666667,0.836538461538462,0.836538461538462,0,0.875,0.894230769230769,0.166666666666667
9,0,0.698924731182796,1,0.333333333333333,0.591397849462366,0.688172043010753,0.166666666666667,0.838709677419355,1,0.333333333333333,0.838709677419355,0.89247311827957,0.5,1,1,0.166666666666667
10,0,0.614035087719298,0.921052631578947,0.666666666666667,0.631578947368421,0.631578947368421,0.166666666666667,0.824561403508772,0.947368421052632,0.333333333333333,0.570175438596491,0.614035087719298,0.333333333333333,0.657894736842105,0.824561403508772,0.333333333333333
11,0,0.470588235294118,0.754901960784314,0.666666666666667,0.696078431372549,0.794117647058824,0.333333333333333,0.647058823529412,1,0.5,0.754901960784314,0.794117647058824,0.333333333333333,0.784313725490196,0.823529411764706,0.333333333333333
12,0,0.571428571428571,0.747252747252747,0.666666666666667,0.846153846153846,0.846153846153846,0,0.802197802197802,0.923076923076923,0.5,0.582417582417583,0.582417582417583,0.5,0.54945054945055,0.802197802197802,0.5
13,0,0.14018691588785,0.794392523364486,0.833333333333333,0.411214953271028,0.607476635514019,0.666666666666667,0.355140186915888,0.719626168224299,0.666666666666667,0.747663551401869,0.747663551401869,0.333333333333333,0.803738317757009,0.803738317757009,0.166666666666667
