trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,full_hybrid_rew,full_hybrid_potent,full_hybrid_percDead
0,0,0,0.559701492537313,1,0.141791044776119,0.514925373134328,0.666666666666667,0,0.552238805970149,1,0.126865671641791,0.365671641791045,0.666666666666667
1,0,0,0.353333333333333,1,0,0.16,1,0,0.253333333333333,1,0.306666666666667,0.306666666666667,0
2,0,0,0.19205298013245,1,0,0.271523178807947,1,0,0.423841059602649,1,0,0.145695364238411,1
3,0,0.355263157894737,0.407894736842105,0.666666666666667,0.230263157894737,0.276315789473684,0.333333333333333,0,0.717105263157895,1,0.651315789473684,0.730263157894737,0.333333333333333
4,0,0.143939393939394,0.46969696969697,0.666666666666667,0.257575757575758,0.371212121212121,0.666666666666667,0,0.113636363636364,1,0,0.46969696969697,1
5,0,0,0.447368421052632,1,0.105263157894737,0.210526315789474,0.666666666666667,0.361842105263158,0.901315789473684,0.666666666666667,0,0.282894736842105,1
6,0,0.321428571428571,0.464285714285714,0.666666666666667,0,0.257142857142857,1,0.228571428571429,0.371428571428571,0.333333333333333,0.364285714285714,0.514285714285714,0.666666666666667
7,0,0.131736526946108,0.826347305389222,0.666666666666667,0.227544910179641,0.568862275449102,0.666666666666667,0,0.377245508982036,1,0.37125748502994,0.562874251497006,0.333333333333333
8,0,0,0.4,1,0.0733333333333333,0.266666666666667,0.666666666666667,0,0.28,1,0,0.246666666666667,1
9,0,0,0.43046357615894,1,0.139072847682119,0.165562913907285,0.333333333333333,0,0.317880794701987,1,0.245033112582781,0.52317880794702,0.666666666666667
10,0,0.419753086419753,0.759259259259259,0.666666666666667,0.203703703703704,0.518518518518519,0.666666666666667,0.395061728395062,0.487654320987654,0.666666666666667,0.160493827160494,0.518518518518519,0.666666666666667
11,0,0.303703703703704,0.622222222222222,0.666666666666667,0.42962962962963,0.474074074074074,0.333333333333333,0,0.362962962962963,1,0.42962962962963,0.474074074074074,0.333333333333333
12,0,0,0.276470588235294,1,0,0.223529411764706,1,0,0.529411764705882,1,0,0.417647058823529,1
13,0,0,0.295302013422819,1,0.38255033557047,0.583892617449665,0.666666666666667,0,0.161073825503356,1,0,0.174496644295302,1
14,0,0.190789473684211,0.335526315789474,0.666666666666667,0.289473684210526,0.381578947368421,0.666666666666667,0,0.368421052631579,1,0,0.171052631578947,1
15,0,0.338028169014085,0.690140845070423,0.666666666666667,0,0.345070422535211,1,0.373239436619718,0.436619718309859,0.666666666666667,0.330985915492958,0.704225352112676,0.666666666666667
16,0,0.194444444444444,0.583333333333333,0.666666666666667,0,0.133333333333333,1,0,0.15,1,0.483333333333333,0.616666666666667,0.333333333333333
17,0,0,0.358108108108108,1,0.581081081081081,0.581081081081081,0.333333333333333,0,0.668918918918919,1,0,0.418918918918919,1
18,0,0.158620689655172,0.448275862068966,0.666666666666667,0.16551724137931,0.220689655172414,0.666666666666667,0,0.0689655172413793,1,0.0758620689655172,0.496551724137931,0.666666666666667
19,0,0,0.310077519379845,1,0.27906976744186,0.511627906976744,0.666666666666667,0.147286821705426,0.255813953488372,0.666666666666667,0,0.0387596899224806,1
20,0,0,0.809859154929578,1,0,0.288732394366197,1,0.105633802816901,0.577464788732394,0.666666666666667,0,0.352112676056338,1
21,0,0.382352941176471,0.610294117647059,0.666666666666667,0,0.375,1,0.522058823529412,0.654411764705882,0.333333333333333,0.264705882352941,0.536764705882353,0.666666666666667
22,0,0,0.471544715447155,1,0,0.276422764227642,1,0.105691056910569,0.560975609756098,0.666666666666667,0.0650406504065041,0.260162601626016,0.666666666666667
23,0,0.277372262773723,0.321167883211679,0.666666666666667,0.343065693430657,0.357664233576642,0.666666666666667,0,0.204379562043796,1,0.306569343065693,0.386861313868613,0.666666666666667
24,0,0.312925170068027,0.625850340136055,0.666666666666667,0,0.36734693877551,1,0,0.557823129251701,1,0.387755102040816,0.530612244897959,0.666666666666667
25,0,0,0.0986842105263158,1,0.256578947368421,0.447368421052632,0.666666666666667,0.263157894736842,0.381578947368421,0.666666666666667,0,0.546052631578947,1
26,0,0,0.469512195121951,1,0,0.347560975609756,1,0.195121951219512,0.384146341463415,0.666666666666667,0.451219512195122,0.469512195121951,0.666666666666667
27,0,0,0.375886524822695,1,0.170212765957447,0.446808510638298,0.666666666666667,0.276595744680851,0.482269503546099,0.666666666666667,0,0.290780141843972,1
28,0,0,0.328671328671329,1,0.118881118881119,0.20979020979021,0.666666666666667,0,0.174825174825175,1,0.41958041958042,0.41958041958042,0.333333333333333
29,0,0.215116279069767,0.61046511627907,0.666666666666667,0.0406976744186047,0.343023255813954,0.666666666666667,0,0.441860465116279,1,0.325581395348837,0.534883720930233,0.666666666666667
