trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,hybrid_rew,hybrid_potent,hybrid_percDead
0,0,0.797752808988764,1.0,0.3333333333333333,0.7528089887640449,0.7528089887640449,0.3333333333333333,0.6067415730337079,0.7078651685393258,0.5,0.6629213483146067,0.8651685393258427,0.6666666666666666
1,0,0.34210526315789475,0.7456140350877193,0.6666666666666666,0.5,0.7192982456140351,0.6666666666666666,0.5789473684210527,0.7456140350877193,0.6666666666666666,0.7631578947368421,0.8508771929824561,0.5
2,0,0.8555555555555555,0.9111111111111111,0.5,0.5333333333333333,0.7555555555555555,0.5,0.7666666666666667,0.8222222222222222,0.5,0.7777777777777778,0.8111111111111111,0.3333333333333333
3,0,0.35135135135135137,0.8558558558558559,0.8333333333333334,0.0,0.5495495495495496,1.0,0.8738738738738738,0.8738738738738738,0.5,0.4864864864864865,0.8108108108108109,0.8333333333333334
4,0,0.2831858407079646,0.9026548672566371,0.8333333333333334,0.5486725663716814,0.5663716814159292,0.6666666666666666,0.7433628318584071,0.7433628318584071,0.5,0.48672566371681414,0.48672566371681414,0.6666666666666666
5,0,0.3253012048192771,0.7108433734939759,0.6666666666666666,0.7710843373493976,0.7710843373493976,0.16666666666666666,0.4578313253012048,0.7710843373493976,0.8333333333333334,0.0,0.6144578313253012,1.0
6,0,1.0,1.0,0.3333333333333333,0.6306306306306306,0.8558558558558559,0.6666666666666666,0.7387387387387387,0.8738738738738738,0.5,0.7477477477477478,0.8288288288288288,0.5
7,0,0.6633663366336634,0.8118811881188119,0.6666666666666666,0.6633663366336634,0.6633663366336634,0.3333333333333333,0.32673267326732675,0.8712871287128713,0.8333333333333334,0.7722772277227723,0.8712871287128713,0.5
8,0,0.7583333333333333,0.7583333333333333,0.5,0.36666666666666664,0.775,0.8333333333333334,0.475,0.8333333333333334,0.6666666666666666,0.4083333333333333,0.525,0.8333333333333334
9,0,0.6666666666666666,1.0,0.3333333333333333,0.782051282051282,0.782051282051282,0.16666666666666666,0.0,0.358974358974359,1.0,0.5256410256410257,0.9743589743589743,0.6666666666666666
