trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,dist_hybrid_rew,dist_hybrid_rew,dist_hybrid_rew,full_hybrid_rew,full_hybrid_rew,full_hybrid_rew
0,0,0.6291390728476821,0.6291390728476821,0.0,0.2981366459627329,0.484472049689441,0.3333333333333333,0.6583850931677019,0.6583850931677019,0.0,0,0,0,0.47368421052631576,0.47368421052631576,0.0
1,0,0.6575342465753424,0.6575342465753424,0.0,0.32051282051282054,0.3717948717948718,0.3333333333333333,0.5952380952380952,0.6666666666666666,0.3333333333333333,0,0,0,0.5897435897435898,0.5897435897435898,0.0
2,0,0.7062937062937062,0.7062937062937062,0.0,0.706766917293233,0.706766917293233,0.0,0.6257668711656442,0.6257668711656442,0.0,0,0,0,0.6601307189542484,0.6601307189542484,0.0
3,0,0.6521739130434783,0.6521739130434783,0.0,0.6484375,0.6484375,0.0,0.7314814814814815,0.7314814814814815,0.0,0,0,0,0.6148648648648649,0.75,0.3333333333333333
4,0,0.5566502463054187,0.5566502463054187,0.0,0.5228758169934641,0.5228758169934641,0.0,0.8391608391608392,0.8391608391608392,0.0,0,0,0,0.6551724137931034,0.6551724137931034,0.0
5,0,0.5444444444444444,0.5444444444444444,0.0,0.7466666666666667,0.7466666666666667,0.0,0.7066666666666667,0.7066666666666667,0.0,0,0,0,0.5304347826086957,0.5304347826086957,0.0
6,0,0.6106194690265486,0.6106194690265486,0.0,0.3902439024390244,0.3902439024390244,0.0,0.2955665024630542,0.3448275862068966,0.3333333333333333,0,0,0,0.41040462427745666,0.41040462427745666,0.0
7,0,0.5098039215686274,0.5098039215686274,0.0,0.5519125683060109,0.5519125683060109,0.0,0.3583815028901734,0.3583815028901734,0.0,0,0,0,0.4723926380368098,0.4723926380368098,0.0
8,0,0.6811594202898551,0.6811594202898551,0.0,0.4527027027027027,0.4594594594594595,0.3333333333333333,0.5178571428571429,0.5178571428571429,0.0,0,0,0,0.6756756756756757,0.6756756756756757,0.0
9,0,0.6293706293706294,0.6293706293706294,0.0,0.5028901734104047,0.5028901734104047,0.0,0.5214723926380368,0.5214723926380368,0.0,0,0,0,0.6293706293706294,0.6293706293706294,0.0
10,0,0.5056818181818182,0.5056818181818182,0.0,0.4397590361445783,0.4397590361445783,0.0,0.5547945205479452,0.589041095890411,0.3333333333333333,0,0,0,0.5958904109589042,0.5958904109589042,0.0
11,0,0.4725274725274725,0.4725274725274725,0.0,0.3372093023255814,0.3372093023255814,0.0,0.5633802816901409,0.5633802816901409,0.0,0,0,0,0.6339285714285714,0.6339285714285714,0.3333333333333333
12,0,0.5170731707317073,0.5170731707317073,0.0,0.4717948717948718,0.4717948717948718,0.0,0.5142857142857142,0.5142857142857142,0.0,0,0,0,0.688,0.688,0.0
13,0,0.5555555555555556,0.5555555555555556,0.0,0.4956521739130435,0.4956521739130435,0.0,0.53125,0.6,0.3333333333333333,0,0,0,0.5705882352941176,0.5705882352941176,0.0
14,0,0.4605263157894737,0.4605263157894737,0.0,0.3787878787878788,0.3787878787878788,0.0,0.4868421052631579,0.4868421052631579,0.0,0,0,0,0.4012345679012346,0.4567901234567901,0.3333333333333333
15,0,0.7183098591549296,0.7183098591549296,0.0,0.6267605633802817,0.6267605633802817,0.0,0.6098901098901099,0.6098901098901099,0.0,0,0,0,0.6111111111111112,0.6111111111111112,0.0
16,0,0.4838709677419355,0.6209677419354839,0.3333333333333333,0.5844155844155844,0.5844155844155844,0.0,0.49390243902439024,0.49390243902439024,0.0,0,0,0,0.6716417910447762,0.6716417910447762,0.0
17,0,0.5761589403973509,0.5761589403973509,0.0,0.5380116959064327,0.5380116959064327,0.0,0.6028368794326241,0.6028368794326241,0.0,0,0,0,0.5496688741721855,0.5496688741721855,0.0
18,0,0.4573170731707317,0.4573170731707317,0.0,0.5069444444444444,0.5069444444444444,0.0,0.46551724137931033,0.46551724137931033,0.0,0,0,0,0.4027777777777778,0.5833333333333334,0.3333333333333333
19,0,0.5566502463054187,0.5566502463054187,0.0,0.5454545454545454,0.7552447552447552,0.3333333333333333,0.5846994535519126,0.5846994535519126,0.0,0,0,0,0.5555555555555556,0.5555555555555556,0.0
20,0,0.76,0.76,0.0,0.6324324324324324,0.6324324324324324,0.0,0.688,0.688,0.0,0,0,0,0.5757575757575758,0.5757575757575758,0.0
21,0,0.7413793103448276,0.7413793103448276,0.0,0.6415094339622641,0.6415094339622641,0.0,0.7857142857142857,0.7857142857142857,0.0,0,0,0,0.5510204081632653,0.5510204081632653,0.0
22,0,0.6666666666666666,0.6666666666666666,0.0,0.4589041095890411,0.4589041095890411,0.0,0.5681818181818182,0.5681818181818182,0.0,0,0,0,0.5227272727272727,0.5227272727272727,0.0
23,0,0.3850574712643678,0.42528735632183906,0.3333333333333333,0.37745098039215685,0.4117647058823529,0.3333333333333333,0.39552238805970147,0.4925373134328358,0.3333333333333333,0,0,0,0.5887096774193549,0.5887096774193549,0.0
24,0,0.5280898876404494,0.5280898876404494,0.0,0.5617977528089888,0.5617977528089888,0.0,0.5,0.5,0.0,0,0,0,0.5178571428571429,0.5178571428571429,0.0
25,0,0.3072289156626506,0.5481927710843374,0.3333333333333333,0.7830188679245284,0.7830188679245284,0.0,0.7641509433962265,0.7641509433962265,0.0,0,0,0,0.5903614457831325,0.5903614457831325,0.0
26,0,0.5112359550561798,0.5112359550561798,0.0,0.5546875,0.5546875,0.0,0.5357142857142857,0.5357142857142857,0.0,0,0,0,0.4101123595505618,0.4101123595505618,0.0
