trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,hybrid_rew,hybrid_potent,hybrid_percDead
0,0,0.2108843537414966,0.5986394557823129,0.6666666666666666,0.2108843537414966,0.6258503401360545,0.8333333333333334,0.3741496598639456,0.6394557823129252,0.6666666666666666,0.7959183673469388,0.8095238095238095,0.16666666666666666
1,0,0.538961038961039,0.7597402597402597,0.5,0.7922077922077922,0.8961038961038961,0.16666666666666666,0.2727272727272727,0.5714285714285714,0.8333333333333334,0.6493506493506493,0.6818181818181818,0.3333333333333333
2,0,0.6514285714285715,0.9142857142857143,0.6666666666666666,0.5771428571428572,0.6171428571428571,0.3333333333333333,0.32571428571428573,0.7028571428571428,0.8333333333333334,0.5542857142857143,0.8628571428571429,0.5
3,0,0.3137254901960784,0.8888888888888888,0.6666666666666666,0.5163398692810458,0.5751633986928104,0.5,0.6666666666666666,0.6928104575163399,0.16666666666666666,0.8562091503267973,0.8627450980392157,0.16666666666666666
4,0,0.4318181818181818,1.0,0.3333333333333333,0.5454545454545454,0.7348484848484849,0.5,0.946969696969697,0.946969696969697,0.16666666666666666,0.5681818181818182,0.6287878787878788,0.5
5,0,0.4697986577181208,0.6577181208053692,0.5,0.6912751677852349,0.7248322147651006,0.3333333333333333,0.6577181208053692,0.7785234899328859,0.5,0.42953020134228187,0.7449664429530202,0.6666666666666666
6,0,0.32919254658385094,0.5838509316770186,0.6666666666666666,0.37267080745341613,0.6273291925465838,0.5,0.0,0.7142857142857143,1.0,0.453416149068323,0.8136645962732919,0.5
7,0,0.09722222222222222,0.6111111111111112,0.8333333333333334,0.16666666666666666,0.6527777777777778,0.8333333333333334,0.5,0.8055555555555556,0.6666666666666666,0.3472222222222222,0.5833333333333334,0.8333333333333334
8,0,0.5103448275862069,0.9103448275862069,0.6666666666666666,0.593103448275862,0.7862068965517242,0.3333333333333333,0.6758620689655173,0.7172413793103448,0.3333333333333333,0.5379310344827586,0.7931034482758621,0.5
9,0,0.06382978723404255,0.6737588652482269,0.8333333333333334,0.3829787234042553,0.6028368794326241,0.6666666666666666,0.2765957446808511,0.6737588652482269,0.8333333333333334,0.5602836879432624,0.9078014184397163,0.5
