trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,hybrid_rew,hybrid_potent,hybrid_percDead
0,0,0.7111111111111111,0.9,0.5,0.45555555555555555,0.4888888888888889,0.6666666666666666,0.7333333333333333,0.8888888888888888,0.3333333333333333,0.7888888888888889,0.8222222222222222,0.3333333333333333
1,0,0.47368421052631576,0.8947368421052632,0.5,0.8631578947368421,0.8631578947368421,0.3333333333333333,0.7789473684210526,0.968421052631579,0.5,0.6631578947368421,0.7789473684210526,0.6666666666666666
2,0,0.4065934065934066,0.7362637362637363,0.8333333333333334,0.8571428571428571,0.9340659340659341,0.5,0.7582417582417582,0.7582417582417582,0.5,0.9010989010989011,0.9560439560439561,0.5
3,0,0.2761904761904762,0.6761904761904762,0.8333333333333334,0.3523809523809524,0.3523809523809524,0.16666666666666666,0.2571428571428571,0.2571428571428571,0.3333333333333333,0.3904761904761905,0.4380952380952381,0.3333333333333333
4,0,0.44565217391304346,0.717391304347826,0.6666666666666666,0.7065217391304348,0.7065217391304348,0.3333333333333333,0.8478260869565217,0.8804347826086957,0.3333333333333333,0.0,0.7391304347826086,1.0
5,0,0.0,0.6160714285714286,1.0,0.7410714285714286,0.7410714285714286,0.5,0.9196428571428571,0.9196428571428571,0.16666666666666666,0.41964285714285715,0.7142857142857143,0.6666666666666666
6,0,0.6666666666666666,0.7738095238095238,0.5,0.5,0.8214285714285714,0.8333333333333334,0.6428571428571429,0.75,0.5,0.7619047619047619,0.7619047619047619,0.16666666666666666
7,0,0.8775510204081632,0.9387755102040817,0.3333333333333333,0.5306122448979592,0.7448979591836735,0.6666666666666666,0.5306122448979592,0.7653061224489796,0.5,0.0,0.7959183673469388,1.0
8,0,0.2833333333333333,0.6333333333333333,0.6666666666666666,0.0,0.5916666666666667,1.0,0.3333333333333333,0.5833333333333334,0.6666666666666666,0.5083333333333333,0.7333333333333333,0.8333333333333334
9,0,0.5754716981132075,0.8301886792452831,0.3333333333333333,0.0,0.6698113207547169,1.0,0.8773584905660378,0.8773584905660378,0.16666666666666666,0.6415094339622641,0.7075471698113207,0.3333333333333333
