trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,dist_hybrid_rew,dist_hybrid_rew,dist_hybrid_rew,full_hybrid_rew,full_hybrid_rew,full_hybrid_rew
0,0,0,0.8292682926829268,1,0.45121951219512196,0.5182926829268293,0.5,0.6280487804878049,0.676829268,0.3333333333333333,0,0,0,0.5609756097560976,0.7682926829268293,0.3333333333333333
1,0,0.3081761006289308,0.5660377358490566,0.6666666666666666,0.4591194968553459,0.4591194968553459,0.3333333333333333,0.5534591194968553,0.6792452830188679,0.3333333333333333,0,0,0,0.6226415094339622,0.6226415094339622,0.5
2,0,0.4365079365079365,0.8095238095238095,0.5,0.5317460317460317,0.5317460317460317,0.16666666666666666,0.8095238095238095,0.9206349206349206,0.5,0,0,0,0.5476190476190477,0.8015873015873016,0.5
3,0,0.86875,0.875,0.16666666666666666,0.5625,0.8125,0.3333333333333333,0.7375,0.76875,0.3333333333333333,0,0,0,0.66875,0.7375,0.5
4,0,0.6296296296296297,1,0.5,0.6172839506172839,0.7654320987654321,0.3333333333333333,0.8148148148148148,0.9135802469135802,0.3333333333333333,0,0,0,0.3395061728395062,0.7222222222222222,0.5
5,0,0.3935483870967742,0.7870967741935484,0.5,0.22580645161290322,0.44516129032258067,0.8333333333333334,0.7225806451612903,0.9161290322580645,0.16666666666666666,0,0,0,0.7096774193548387,0.7096774193548387,0
6,0,0.1590909090909091,0.5833333333333334,0.6666666666666666,0.5606060606060606,0.6742424242424242,0.3333333333333333,0.7121212121212122,0.7121212121212122,0.3333333333333333,0,0,0,0.6212121212121212,0.8787878787878788,0.3333333333333333
7,0,0.3380281690140845,0.5633802816901409,0.6666666666666666,0.6056338028169014,0.7323943661971831,0.3333333333333333,0.8450704225352113,0.9507042253521126,0.16666666666666666,0,0,0,0.8450704225352113,0.9084507042253521,0.5
8,0,0.7870967741935484,0.8387096774193549,0.16666666666666666,0.6,0.6645161290322581,0.3333333333333333,0.6451612903225806,0.6967741935483871,0.16666666666666666,0,0,0,0.4967741935483871,0.7354838709677419,0.3333333333333333
9,0,0.6375838926174496,0.8993288590604027,0.5,0.7449664429530202,0.7919463087248322,0.16666666666666666,0.785234899,0.8053691275167785,0.3333333333333333,0,0,0,0.4899328859060403,0.7315436241610739,0.3333333333333333
10,0,0.920863309,0.9856115107913669,0.5,0.26618705035971224,0.4748201438848921,0.8333333333333334,0.6834532374100719,0.6834532374100719,0.16666666666666666,0,0,0,0.5107913669064749,0.8848920863309353,0.5
11,0,0.3050847457627119,0.6271186440677966,0.6666666666666666,0.423728814,0.5536723163841808,0.3333333333333333,0.4858757062146893,0.5875706214689266,0.16666666666666666,0,0,0,0.4576271186440678,0.4576271186440678,0.3333333333333333
12,0,0.3446327683615819,0.5480225988700564,0.6666666666666666,0.3163841807909605,0.4350282485875706,0.6666666666666666,0.4858757062146893,0.5254237288135594,0.5,0,0,0,0.5084745762711864,0.536723164,0.3333333333333333
13,0,0.40963855421686746,0.7530120481927711,0.6666666666666666,0.5602409638554217,0.5602409638554217,0,0.5240963855421686,0.5963855421686747,0.16666666666666666,0,0,0,0.5060240963855421,0.6144578313253012,0.3333333333333333
14,0,0.20300751879699247,0.5714285714285714,0.6666666666666666,0.5037593984962406,0.5488721804511278,0.5,0.6165413533834586,0.7744360902255639,0.5,0,0,0,0.7142857142857143,0.7142857142857143,0.3333333333333333
15,0,1,1,0.16666666666666666,0.37349397590361444,0.7409638554216867,0.6666666666666666,0.8253012048192772,0.9518072289156626,0.3333333333333333,0,0,0,0.6385542168674698,0.7831325301204819,0.3333333333333333
16,0,0.1292517006802721,0.4013605442176871,0.8333333333333334,0.5374149659863946,0.7278911564625851,0.5,0.8707482993197279,0.8707482993197279,0.16666666666666666,0,0,0,0.7891156462585034,0.9183673469387755,0.3333333333333333
17,0,0.90070922,1,0.16666666666666666,0.41843971631205673,0.7588652482269503,0.5,0.723404255,0.7801418439716312,0.16666666666666666,0,0,0,0.6595744680851063,0.6595744680851063,0.3333333333333333
18,0,0,0.696969697,1,0.6,0.6,0.16666666666666666,0.45454545454545453,0.7333333333333333,0.5,0,0,0,0.6242424242424243,0.7696969696969697,0.3333333333333333
19,0,0.16022099447513813,0.36464088397790057,0.8333333333333334,0.46408839779005523,0.46408839779005523,0.3333333333333333,0.563535912,0.563535912,0,0,0,0,0.49171270718232046,0.49171270718232046,0.16666666666666666
20,0,0.37012987012987014,0.7987012987012987,0.6666666666666666,0.5584415584415584,0.7337662337662337,0.3333333333333333,0.8246753246753247,0.8766233766233766,0.3333333333333333,0,0,0,0.7792207792207793,0.7792207792207793,0
21,0,0.5657894736842105,0.756578947,0.3333333333333333,0.48026315789473684,0.5526315789473685,0.5,0.5592105263157895,0.625,0.3333333333333333,0,0,0,0.4605263157894737,0.618421053,0.6666666666666666
22,0,0.6083916083916084,0.7132867132867133,0.5,0.6853146853146853,0.6853146853146853,0,0.6223776223776224,0.6223776223776224,0.16666666666666666,0,0,0,0.6923076923076923,0.7272727272727273,0.16666666666666666
23,0,0.7414965986394558,0.9319727891156463,0.3333333333333333,0.7346938775510204,0.7551020408163265,0.3333333333333333,0.7006802721088435,0.7959183673469388,0.3333333333333333,0,0,0,0.9523809523809523,0.9523809523809523,0
