trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,hybrid_rew,hybrid_potent,hybrid_percDead
0,0,0.205607476635514,0.411214953271028,0.6666666666666666,0.8130841121495327,0.8130841121495327,0.3333333333333333,0.4953271028037383,0.7663551401869159,0.3333333333333333,0.018691588785046728,0.6635514018691588,0.8333333333333334
1,0,0.7684210526315789,0.8947368421052632,0.5,0.6105263157894737,0.7684210526315789,0.6666666666666666,0.0,0.7052631578947368,1.0,0.5052631578947369,0.9052631578947369,0.6666666666666666
2,0,0.8061224489795918,0.8877551020408163,0.3333333333333333,0.6428571428571429,0.826530612244898,0.5,0.8367346938775511,0.8367346938775511,0.16666666666666666,0.6326530612244898,0.8163265306122449,0.6666666666666666
3,0,0.375,0.90625,0.6666666666666666,0.6458333333333334,0.84375,0.5,0.7708333333333334,0.8333333333333334,0.16666666666666666,0.8645833333333334,0.8645833333333334,0.3333333333333333
4,0,0.7790697674418605,0.9069767441860465,0.5,0.8255813953488372,0.8255813953488372,0.5,0.8023255813953488,0.9069767441860465,0.5,0.5348837209302325,0.6627906976744186,0.8333333333333334
5,0,0.5145631067961165,0.8932038834951457,0.5,0.6699029126213593,0.6699029126213593,0.6666666666666666,0.6407766990291263,0.8058252427184466,0.3333333333333333,0.8446601941747572,0.9223300970873787,0.16666666666666666
6,0,0.5581395348837209,0.8604651162790697,0.5,0.46511627906976744,0.6395348837209303,0.6666666666666666,0.5,0.5813953488372093,0.6666666666666666,0.6627906976744186,0.8023255813953488,0.5
7,0,0.7547169811320755,0.7735849056603774,0.6666666666666666,0.8679245283018868,0.8679245283018868,0.5,0.49056603773584906,0.5943396226415094,0.6666666666666666,0.3113207547169811,0.660377358490566,0.6666666666666666
8,0,0.6708860759493671,0.7974683544303798,0.5,0.5316455696202531,0.7341772151898734,0.5,0.5822784810126582,0.6329113924050633,0.5,0.9113924050632911,0.9113924050632911,0.3333333333333333
9,0,1.0,1.0,0.3333333333333333,0.5631067961165048,0.6893203883495146,0.6666666666666666,0.5242718446601942,0.7184466019417476,0.6666666666666666,0.5242718446601942,1.0,0.6666666666666666
