trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,full_hybrid_rew,full_hybrid_potent,full_hybrid_percDead
0,0,0.494623655913979,0.978494623655914,0.333333333333333,0.763440860215054,0.763440860215054,0,0.795698924731183,0.795698924731183,0,0.838709677419355,0.838709677419355,0
1,0,0.980392156862745,0.980392156862745,0,0.872549019607843,0.872549019607843,0,0.92156862745098,0.92156862745098,0,0.980392156862745,0.980392156862745,0
2,0,0.707070707070707,0.707070707070707,0,0.444444444444444,0.444444444444444,0,0.626262626262626,0.626262626262626,0,0.545454545454545,0.545454545454545,0
3,0,0.869047619047619,0.869047619047619,0,0.690476190476191,0.690476190476191,0,0.869047619047619,0.869047619047619,0,0.845238095238095,0.845238095238095,0
4,0,0.78125,0.96875,0.333333333333333,0.729166666666667,0.729166666666667,0,0.927083333333333,0.927083333333333,0,0.864583333333333,0.864583333333333,0
5,0,0.729166666666667,0.729166666666667,0,0.625,0.625,0,0.59375,0.59375,0,0.65625,0.65625,0
6,0,0.601851851851852,0.981481481481482,0.333333333333333,0.712962962962963,0.712962962962963,0,0.87962962962963,0.87962962962963,0,0.814814814814815,0.814814814814815,0
7,0,1,1,0,0.663157894736842,0.663157894736842,0,0.884210526315789,0.884210526315789,0,0.884210526315789,0.884210526315789,0
8,0,0.760869565217391,0.760869565217391,0,0.358695652173913,0.434782608695652,0.333333333333333,0.760869565217391,0.760869565217391,0,0.760869565217391,0.760869565217391,0
9,0,0.831775700934579,0.831775700934579,0,0.728971962616822,0.728971962616822,0,0.682242990654206,0.682242990654206,0,0.747663551401869,0.747663551401869,0
10,0,0.732673267326733,0.732673267326733,0,0.465346534653465,0.465346534653465,0,0.683168316831683,0.683168316831683,0,0.732673267326733,0.732673267326733,0
11,0,0.529411764705882,0.529411764705882,0,0.431372549019608,0.431372549019608,0,0.431372549019608,0.519607843137255,0.333333333333333,0.313725490196078,0.313725490196078,0
12,0,0.872549019607843,0.872549019607843,0,0.470588235294118,0.470588235294118,0,0.852941176470588,0.852941176470588,0,0.745098039215686,0.745098039215686,0
13,0,0.959183673469388,0.959183673469388,0,0.714285714285714,0.714285714285714,0,0.724489795918367,0.724489795918367,0,0.836734693877551,0.836734693877551,0
14,0,0.791304347826087,0.791304347826087,0,0.521739130434783,0.521739130434783,0,0.617391304347826,0.617391304347826,0,0.547826086956522,0.573913043478261,0.333333333333333
15,0,0.915789473684211,0.915789473684211,0,0.652631578947369,0.652631578947369,0,0.842105263157895,0.842105263157895,0,0.8,0.8,0
16,0,0.822429906542056,0.822429906542056,0,0.728971962616822,0.728971962616822,0,0.663551401869159,0.663551401869159,0,0.719626168224299,0.719626168224299,0
17,0,0.741071428571429,0.741071428571429,0,0.348214285714286,0.607142857142857,0.333333333333333,0.705357142857143,0.705357142857143,0,0.732142857142857,0.732142857142857,0
18,0,0.794642857142857,0.794642857142857,0,0.741071428571429,0.741071428571429,0,0.767857142857143,0.767857142857143,0,0.723214285714286,0.723214285714286,0
19,0,0.753086419753086,0.753086419753086,0,0.679012345679012,0.679012345679012,0,0.580246913580247,0.740740740740741,0.333333333333333,0.617283950617284,0.617283950617284,0
20,0,0.925925925925926,0.925925925925926,0,0.530864197530864,0.530864197530864,0,0.91358024691358,0.91358024691358,0,0.814814814814815,0.814814814814815,0
21,0,0.884210526315789,0.884210526315789,0,0.68421052631579,0.778947368421053,0.333333333333333,0.431578947368421,0.884210526315789,0.666666666666667,0.315789473684211,0.663157894736842,0.666666666666667
22,0,0.769911504424779,0.769911504424779,0,0.646017699115044,0.646017699115044,0,0.716814159292035,0.716814159292035,0,0.601769911504425,0.601769911504425,0
23,0,0.592233009708738,0.592233009708738,0,0.310679611650485,0.310679611650485,0,0.592233009708738,0.592233009708738,0,0.524271844660194,0.524271844660194,0
24,0,0.873873873873874,0.873873873873874,0,0.18018018018018,0.828828828828829,0.666666666666667,0.603603603603604,0.603603603603604,0,0.693693693693694,0.801801801801802,0.333333333333333
25,0,0.704081632653061,0.704081632653061,0,0.612244897959184,0.612244897959184,0,0.377551020408163,0.591836734693878,0.333333333333333,0.714285714285714,0.714285714285714,0
26,0,0.903508771929825,0.903508771929825,0,0.614035087719298,0.614035087719298,0,0.824561403508772,0.824561403508772,0,0.719298245614035,0.719298245614035,0
27,0,0.818181818181818,0.818181818181818,0,0.707070707070707,0.707070707070707,0,0.737373737373737,0.737373737373737,0,0.585858585858586,0.585858585858586,0
28,0,0.938053097345133,0.938053097345133,0,0.920353982300885,0.920353982300885,0,0.876106194690266,0.876106194690266,0,0.690265486725664,0.690265486725664,0
29,0,0.868686868686869,0.868686868686869,0,0.585858585858586,0.666666666666667,0.333333333333333,0.737373737373737,0.848484848484849,0.333333333333333,0.474747474747475,0.848484848484849,0.666666666666667
