trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,dist_hybrid_rew,dist_hybrid_rew,dist_hybrid_rew,full_hybrid_rew,full_hybrid_rew,full_hybrid_rew
0,0,0.15432098765432098,0.4074074074074074,0.6666666666666666,0.5493827160493827,0.5493827160493827,0.0,0.5493827160493827,0.6851851851851852,0.3333333333333333,0,0,0,0.2777777777777778,0.4074074074074074,0.6666666666666666
1,0,0.8955223880597015,0.8955223880597015,0.0,0.26865671641791045,0.6791044776119403,0.6666666666666666,0.0,0.8208955223880597,1.0,0,0,0,0.6343283582089553,0.746268656716418,0.3333333333333333
2,0,0.0,0.425,1.0,0.30625,0.3875,0.6666666666666666,0.59375,0.63125,0.3333333333333333,0,0,0,0.09375,0.19375,0.6666666666666666
3,0,0.3905325443786982,0.3905325443786982,0.3333333333333333,0.0,0.1952662721893491,1.0,0.22485207100591717,0.3727810650887574,0.6666666666666666,0,0,0,0.22485207100591717,0.28402366863905326,0.6666666666666666
4,0,0.4589041095890411,0.4863013698630137,0.3333333333333333,0.0136986301369863,0.2876712328767123,0.6666666666666666,0.636986301369863,0.636986301369863,0.0,0,0,0,0.2602739726027397,0.3561643835616438,0.6666666666666666
5,0,0.0,0.5921052631578947,1.0,0.4407894736842105,0.7039473684210527,0.3333333333333333,0.3684210526315789,0.5197368421052632,0.6666666666666666,0,0,0,0.3092105263157895,0.5789473684210527,0.6666666666666666
6,0,0.40939597315436244,0.5033557046979866,0.3333333333333333,0.174496644295302,0.3422818791946309,0.6666666666666666,0.6308724832214765,0.6308724832214765,0.0,0,0,0,0.2751677852348993,0.2751677852348993,0.6666666666666666
7,0,0.0,0.4407894736842105,1.0,0.2894736842105263,0.5657894736842105,0.6666666666666666,0.5657894736842105,0.5723684210526315,0.3333333333333333,0,0,0,0.5921052631578947,0.618421052631579,0.3333333333333333
8,0,0.28368794326241137,0.6453900709219859,0.6666666666666666,0.5390070921985816,0.5390070921985816,0.0,0.0,0.45390070921985815,1.0,0,0,0,0.0,0.48936170212765956,1.0
9,0,0.23125,0.6125,0.6666666666666666,0.30625,0.5125,0.6666666666666666,0.575,0.575,0.3333333333333333,0,0,0,0.0,0.63125,1.0
10,0,0.5125,0.5625,0.3333333333333333,0.35,0.4875,0.3333333333333333,0.4875,0.7375,0.3333333333333333,0,0,0,0.24375,0.55,0.6666666666666666
11,0,0.5540540540540541,0.6891891891891891,0.3333333333333333,0.5,0.5,0.0,0.5202702702702703,0.5202702702702703,0.0,0,0,0,0.0,0.2905405405405405,1.0
12,0,0.5280898876404494,0.7191011235955056,0.3333333333333333,0.5,0.5,0.0,0.0,0.33707865168539325,1.0,0,0,0,0.5224719101123596,0.5224719101123596,0.0
13,0,0.35526315789473684,0.46710526315789475,0.6666666666666666,0.3157894736842105,0.6842105263157895,0.6666666666666666,0.11842105263157894,0.3223684210526316,0.6666666666666666,0,0,0,0.6710526315789473,0.6973684210526315,0.3333333333333333
14,0,0.6241610738255033,0.8389261744966443,0.3333333333333333,0.30201342281879195,0.46308724832214765,0.6666666666666666,0.35570469798657717,0.4697986577181208,0.6666666666666666,0,0,0,0.44966442953020136,0.44966442953020136,0.3333333333333333
15,0,0.2388888888888889,0.5222222222222223,0.6666666666666666,0.48333333333333334,0.6277777777777778,0.3333333333333333,0.0,0.4888888888888889,1.0,0,0,0,0.37777777777777777,0.42777777777777776,0.3333333333333333
16,0,0.3716216216216216,0.5540540540540541,0.3333333333333333,0.4391891891891892,0.4391891891891892,0.3333333333333333,0.42567567567567566,0.5472972972972973,0.3333333333333333,0,0,0,0.6081081081081081,0.6081081081081081,0.0
17,0,0.24074074074074073,0.29012345679012347,0.6666666666666666,0.0,0.16666666666666666,1.0,0.48148148148148145,0.7345679012345679,0.3333333333333333,0,0,0,0.46296296296296297,0.6481481481481481,0.3333333333333333
18,0,0.0,0.48,1.0,0.0,0.36666666666666664,1.0,0.16,0.28,0.6666666666666666,0,0,0,0.32666666666666666,0.4666666666666667,0.3333333333333333
19,0,0.0,0.3958333333333333,1.0,0.06944444444444445,0.3888888888888889,0.6666666666666666,0.7569444444444444,0.7569444444444444,0.0,0,0,0,0.375,0.4375,0.3333333333333333
20,0,0.0,0.4329268292682927,1.0,0.4024390243902439,0.4695121951219512,0.3333333333333333,0.13414634146341464,0.3719512195121951,0.6666666666666666,0,0,0,0.3719512195121951,0.5121951219512195,0.3333333333333333
21,0,0.267515923566879,0.7006369426751592,0.6666666666666666,0.5796178343949044,0.5796178343949044,0.0,0.012738853503184714,0.4012738853503185,0.6666666666666666,0,0,0,0.0,0.554140127388535,1.0
22,0,0.0,0.014492753623188406,1.0,0.38405797101449274,0.39855072463768115,0.3333333333333333,0.3115942028985507,0.3695652173913043,0.6666666666666666,0,0,0,0.4057971014492754,0.4057971014492754,0.3333333333333333
23,0,0.24087591240875914,0.6277372262773723,0.6666666666666666,0.7153284671532847,0.7153284671532847,0.0,0.32116788321167883,0.45255474452554745,0.3333333333333333,0,0,0,0.2773722627737226,0.708029197080292,0.6666666666666666
24,0,0.0,0.28125,1.0,0.1328125,0.4765625,0.6666666666666666,0.421875,0.640625,0.6666666666666666,0,0,0,0.4921875,0.6015625,0.3333333333333333
25,0,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.5170068027210885,0.5170068027210885,0.0,0.6258503401360545,0.891156462585034,0.3333333333333333,0,0,0,0.3469387755102041,0.7278911564625851,0.6666666666666666
26,0,0.17964071856287425,0.3473053892215569,0.6666666666666666,0.46706586826347307,0.6407185628742516,0.3333333333333333,0.3772455089820359,0.5568862275449101,0.6666666666666666,0,0,0,0.4431137724550898,0.4431137724550898,0.3333333333333333
