trial,test,frontEndOnly_rew,frontEndOnly_potent,frontEndOnly_percDead,distrOnly_rew,distrOnly_potent,distrOnly_percDead,twoStep_rew,twoStep_potent,twoStep_percDead,full_hybrid_rew,full_hybrid_potent,full_hybrid_percDead
0,0,0.735099337748344,0.735099337748344,0,0.616113744075829,0.625592417061611,0.166666666666667,0.411347517730496,0.829787234042553,0.5,0.521739130434783,0.645962732919255,0.166666666666667
1,0,0.467948717948718,0.519230769230769,0.166666666666667,0.414772727272727,0.414772727272727,0,0.658730158730159,0.658730158730159,0,0.706349206349206,0.706349206349206,0
2,0,0.602272727272727,0.602272727272727,0,0.448979591836735,0.51530612244898,0.166666666666667,0.726027397260274,0.726027397260274,0,0.645161290322581,0.645161290322581,0
3,0,0.716312056737589,0.716312056737589,0,0.786259541984733,0.786259541984733,0,0.538011695906433,0.660818713450292,0.166666666666667,0.972972972972973,0.972972972972973,0
4,0,0.417177914110429,0.417177914110429,0,0.300578034682081,0.300578034682081,0,0.349693251533742,0.349693251533742,0,0.41958041958042,0.41958041958042,0
5,0,0.731543624161074,0.731543624161074,0,0.59748427672956,0.679245283018868,0.166666666666667,0.805031446540881,0.805031446540881,0,0.691275167785235,0.691275167785235,0
6,0,0.70414201183432,0.70414201183432,0,0.70391061452514,0.759776536312849,0.166666666666667,0.613065326633166,0.613065326633166,0,0.688442211055276,0.688442211055276,0.166666666666667
7,0,0.315789473684211,0.357894736842105,0.333333333333333,0.421052631578947,0.421052631578947,0,0.405555555555556,0.405555555555556,0,0.466666666666667,0.466666666666667,0
8,0,0.791666666666667,0.791666666666667,0,0.623376623376623,0.623376623376623,0,0.763888888888889,0.763888888888889,0,0.634020618556701,0.634020618556701,0
9,0,0.68503937007874,0.68503937007874,0,0.559055118110236,0.559055118110236,0,0.817518248175183,0.817518248175183,0,0.630573248407643,0.630573248407643,0
10,0,0.766129032258065,0.895161290322581,0.333333333333333,0.416666666666667,0.416666666666667,0,0.603260869565217,0.603260869565217,0,0.593137254901961,0.593137254901961,0
11,0,0.855855855855856,0.972972972972973,0.333333333333333,0.51131221719457,0.51131221719457,0,0.606965174129353,0.606965174129353,0,0.641791044776119,0.641791044776119,0
12,0,0.686666666666667,0.733333333333333,0.166666666666667,0.41,0.585,0.166666666666667,0.828571428571429,0.828571428571429,0,0.784615384615385,0.784615384615385,0
13,0,0.798657718120805,0.798657718120805,0,0.613756613756614,0.613756613756614,0,0.870503597122302,0.870503597122302,0,0.818791946308725,0.818791946308725,0
14,0,0.661290322580645,0.661290322580645,0,0.693548387096774,0.758064516129032,0.166666666666667,0.634328358208955,0.634328358208955,0,0.719298245614035,0.719298245614035,0
15,0,0.714285714285714,0.805194805194805,0.166666666666667,0.309278350515464,0.309278350515464,0,0.719512195121951,0.719512195121951,0,0.714285714285714,0.720779220779221,0.166666666666667
16,0,0.693430656934307,0.693430656934307,0,0.55688622754491,0.55688622754491,0.166666666666667,0.592814371257485,0.592814371257485,0,0.585987261146497,0.585987261146497,0
17,0,0.574324324324324,0.695945945945946,0.166666666666667,0.613924050632911,0.613924050632911,0,0.545454545454545,0.621212121212121,0.166666666666667,0.758426966292135,0.758426966292135,0
18,0,0.658536585365854,0.67479674796748,0.166666666666667,0.731707317073171,0.731707317073171,0,0.666666666666667,0.666666666666667,0,0.706293706293706,0.706293706293706,0.166666666666667
19,0,0.605263157894737,0.605263157894737,0,0.570422535211268,0.570422535211268,0,0.75,0.75,0,0.681818181818182,0.681818181818182,0
20,0,0.61038961038961,0.61038961038961,0,0.75,0.75,0,0.662337662337662,0.727272727272727,0.166666666666667,0.708955223880597,0.708955223880597,0
21,0,0.42,0.42,0,0.642857142857143,0.642857142857143,0,0.5,0.5,0,0.583333333333333,0.583333333333333,0
22,0,0.642857142857143,0.642857142857143,0,0.632911392405063,0.632911392405063,0,0.655405405405405,0.655405405405405,0,0.77027027027027,0.77027027027027,0
23,0,0.533333333333333,0.666666666666667,0.5,0.496774193548387,0.561290322580645,0.166666666666667,0.612121212121212,0.612121212121212,0,0.308571428571429,0.502857142857143,0.166666666666667
24,0,0.293650793650794,0.698412698412698,0.666666666666667,0.595238095238095,0.595238095238095,0,0.317204301075269,0.370967741935484,0.166666666666667,0.602739726027397,0.602739726027397,0
25,0,0.7109375,0.7109375,0,0.535714285714286,0.535714285714286,0,0.626582278481013,0.626582278481013,0.166666666666667,0.439189189189189,0.587837837837838,0.333333333333333
26,0,0.597315436241611,0.597315436241611,0,0.671140939597316,0.671140939597316,0,0.485207100591716,0.485207100591716,0,0.633136094674556,0.633136094674556,0
27,0,0.312056737588653,0.432624113475177,0.166666666666667,0.570247933884298,0.570247933884298,0,0.380116959064327,0.380116959064327,0,0.594594594594595,0.594594594594595,0
28,0,0.785714285714286,0.785714285714286,0,0.7,0.7,0,0.645,0.645,0.166666666666667,0.75,0.75,0
29,0,0.607843137254902,0.607843137254902,0,0.619469026548673,0.619469026548673,0,0.581699346405229,0.581699346405229,0,0.640522875816993,0.640522875816993,0
